Pojem česky	Definice česky
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“), také označován jako „konstrukční typ“.  Musí být poskytnuto jako alternativa k názvu „typ objektu“, pokud software typy objektů nepodporuje
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Maximální hodnoty zvuku	"Maximální hodnoty zvuku pro tento objekt.
Jsou určeny podle národních stavebních předpisů. Udávají odolnost proti zvukové propustnosti tohoto objektu indexovým ukazatelem (místo zajištění hodnot absorpce zvuku)."
 Požární odolnost	Požární odolnost tohoto objektu. Udává se podle národní klasifikace požární bezpečnosti.
 Je venkovní	Udává, zda je prvek navržený pro použití ve venkovním prostředí (TRUE) nebo není (FALSE). Pokud platí (TRUE), jedná se o venkovní prvek a je orientován směrem ven z budovy.
 Součinitel prostupu tepla	"Součinitel prostupu tepla (hodnota U) materiálu.
Zde je to celkový součinitel prostupu tepla povrchem střechy (včetně všech materiálů)."
	
 Typ sanitárního terminálu Vana	Sanitární zařízení pro ponoření lidského těla nebo jeho části (BS6100). HISTORIE: V IFC4, vlastnosti Material a  MaterialThickness odstraněny. Použití schopností materiálů ze schématu IfcMaterialsResource. Datový typ barvy změněné na IfcLabel (stále hodnota typu string)
 Typ vany	"Výčet vlastností definuje typy van, které lze určit v rámci souboru vlastností, kde:

Domácí: 	Vana pro jednu osobu v daném čase, do které lze snadno ponořit celé tělo.
DomesticCorner: 	Vana pro jednu osobu v daném čase, do které lze snadno ponořit celé tělo, a ve které je nádrž skloněna pod úhlem.
Noha: 	Mělká vana pro mytí nohou.
Jacuzzi: 	Vířivá vana pro více než jednu osobu
Ponoření: 	Vana, obvykle pro více než jednu osobu v daném čase, do které lze snadno ponořit celé tělo.
Sedací vana: 	Vana ve které koupající se osoba sedí jako v křesle.
Ošetření: 	Vana používaná pro účely hydroterapie.
Vířivá lázeň: 	Vana s integrovaným zařízením, které víří vodu pomocí oběhového čerpadla nebo indukce vody a / nebo vzduchu."
 Jmenovitá délka	Jmenovitá nebo kótovaná délka objektu.
 Jmenovitá šířka	Jmenovitá nebo kótovaná šířka objektu.
 Jmenovitá hloubka	Jmenovitá nebo kótovaná hloubka objektu.
 Barva	Převládající barva objektu.
 Velikost odtoku	Velikost přípojky odtokové výpusti z objektu.
 Má ruční madla	Označuje, zda je vana vybavena madly, která pomáhají koupající se osobě při vstupu do vany nebo při opouštění vany.
	
 Typ sanitárního terminálu Bidet	Zařízení s vodním odpadem určené k mytí vylučovacích orgánů při sezení obkročmo na míse (BS6100). HISTORIE: V IFC4, vlastnost materiálu odstraněna. Použití schopností materiálů ze schématu IfcMaterialsResource. Datový typ barvy změněn na IfcLabel (stále hodnota typu string). MontážBidetu změněno na Montáž.
 Montáž	"Výčet vlastností Pset_SanitaryMountingEnum definuje způsoby montáže nebo upevnění sanitárního terminálu, které lze stanovit v rámci souborů vlastností použitých k definování sanitárních terminálů (WC, umyvadla, stok, atd.), kde:

ZadníStranouNaStěnu: 	Sanitární terminál s montáží na podstavec, který se přizpůsobí zadní stranou stěně a zajistí zakrytí svých provozních přípojek
.
Podstavec: 	Sanitární terminál s montáží na podlahu, který má integrální základnu
.
NaHorníStranu: 	Sanitární terminál, který je nainstalován na vodorovnou plochu. Poznámka: Při aplikaci do ručního umyvadla se častěji používá výraz  ‘marnost’. Viz také specifikace typu ručního umyvadla.
Nástěnný: 	Sanitární terminál zavěšený v dostatečné výšce nad podlahou.

Mějte na paměti, že ZadníStranouNaStěnu, Podstavec a Nástěnný jsou přípustné hodnoty pro bidet."
 Jmenovitá délka	Jmenovitá nebo kótovaná délka objektu.
 Jmenovitá šířka	Jmenovitá nebo kótovaná šířka objektu.
 Jmenovitá hloubka	Jmenovitá nebo kótovaná hloubka objektu.
 Barva	Výběr barvy pro tento objekt.
 Hladina přetečení	Hladina, při které se voda vylije z objektu.
 Velikost odtoku	Velikost přípojky odtokové výpusti z objektu.
	
 Typ sanitárního terminálu Cisterna	Jednotka vodní nádrže připojená k sanitárnímu terminálu, která je vybavena zařízením ovládaným automaticky nebo uživatelem, která odvádí vodu použitou k čištění mísy klozetu (WC), pisoáru nebo odpadní výlevky. (BS6100 330 5008)
 Výška cisterny	Výčet, který identifikuje výšku cisterny, nebo pokud je nastaven na 'Žádný', pokud pisoár nemá cisternu a je splachován pomocí přívodu nebo vysokotlaké vody přes splachovací ventil.
 Kapacita cisterny	Objemová kapacita cisterny
 Je na jedno spláchnutí	Udává, zda je cisterna na jedno spláchnutí = TRUE (t.j. pro každé spláchnutí se používá stejné množství vody) nebo duální spláchnutí = FALSE (t.j. množství vody použité pro spláchnutí může být podle volby uživatele velké nebo malé, podle odpadního materiálu, který se má odstranit).
 Typ spláchnutí	"Výčet vlastnosti Pset_FlushTypeEnum definuje typy splachovacího mechanismu, které lze určit pro cisterny a sanitární terminály, kde:

Páka: 	Splachování se provádí otočením páky, která spustí předem stanovený průtok vody, která přeteče z cisterny do sanitárního terminálu.
Zatáhnout: 	Splachování se provádí zatáhnutím za rukojeť nebo knoflík svisle nahoru, který spustí předem stanovený průtok vody, která přeteče z cisterny do sanitárního terminálu.
Zatlačit: 	Splachování se provádí zatlačením na tlačítko nebo destičku, která spustí předem stanovený průtok vody, která přeteče z cisterny do sanitárního terminálu.
Senzor: Splachování se aktivuje prostřednictvím automatického snímacího mechanismu."
 Splachovací rychlost	Minimální a maximální množství vody použité při každém spláchnutí. Tam, kde se používá jedno spláchnutí, hodnota horní meze a dolní meze by měla být stejná. Pro WC s duálním splachováním by měla být dolní mez použita pro menší splachovací rychlost a horní mez pro větší splachovací rychlost. Pokud se splachování provádí použitím síťového tlaku vody přes splachovací ventil, hodnoty horní a dolní meze by měly být stejné, a musí být stejné jako vlastnost splachovací rychlost splachovacího ventilu (viz příslušný soubor vlastností ventilu). Alternativně lze v tomto případě neuplatnit vlastnost rychlost splachování. Viz splachovací rychlost splachovacího ventilu.
 Má automatické splachování	Logická hodnota, která určuje, zda se cisterna splachuje automaticky buď po každém použití nebo periodicky (TRUE), nebo zda se požaduje ruční spláchnutí (FALSE).
 Barva cisterny	Barva objektu.
	
 Typ sanitárního terminálu - všeobecně	Společné vlastnosti pro sanitární terminály.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ 'A-1') za předpokladu, že není použita žádná klasifikační reference pro rozpoznaný klasifikační systém.
	
 Typ sanitárního terminálu s rezervoárem	Sanitární terminál, který poskytuje proud vody s nízkým tlakem pro konkrétní účel (IAI). HISTORIE: V IFC4, vlastnost materiálu odstraněna. Použití schopností materiálů ze schématu IfcMaterialsResource. Datový typ barvy změněn na IfcLabel (stále hodnota typu string).
 Typ rezervoáru	"Volba typu rezervoáru z výčtového seznamu typů, kde:

PitnáVoda: 	Sanitární zařízení, které poskytuje proud pitné vody s nízkým tlakem.
Oční lázeň: 	Zařízení s odpadem vody, obvykle nainstalované na pracovištích s rizikem poranění očí pevnými částicemi nebo nebezpečnými kapalinami, kterým si uživatel může umýt oči bez dotyku."
 Montáž	"Výběr způsobu montáže rezervoáru z výčtového seznamu upevnění, kde:

ZadníStranouNaStěnu: 	Sanitární terminál s montáží na podstavec, který se přizpůsobí zadní stranou stěně a zajistí zakrytí svých provozních přípojek.
Podstavec: 	Sanitární terminál s montáží na podlahu, který má integrální základnu
.
NaHorníStranu: 	Sanitární terminál, který je nainstalován na vodorovnou plochu. Poznámka: Při aplikaci do ručního umyvadla se častěji používá výraz  ‘marnost’. Viz také specifikace typu ručního umyvadla.
Nástěnný: 	Sanitární terminál zavěšený v dostatečné výšce nad podlahou."
 Jmenovitá délka	Jmenovitá nebo kótovaná délka objektu.
 Jmenovitá šířka	Jmenovitá nebo kótovaná šířka objektu.
 Jmenovitá hloubka	Jmenovitá nebo kótovaná hloubka objektu.
 Barva	Výběr barvy pro tento objekt.
 Velikost odtoku	Velikost přípojky odtokové výpusti z objektu.
	
 Typ sanitárního terminálu sprcha	Instalace nebo zařízení s odpadem vody, které pouští vodní postřik pro mytí lidského těla (BS6100). HISTORIE: V IFC4, vlastnosti Material a  MaterialThickness odstraněny. Použití schopností materiálů ze schématu IfcMaterialsResource. Datový typ barvy změněné na IfcLabel (stále hodnota typu string)
 Typ sprchy	"Volba typu sprchy z výčtového seznamu typů, kde:

Namáčení:  	Sprcha, která poskytuje rychlé a  důkladné namočení v případě nouze.
Individuální: 	Sprchový kout, který je obvykle uzavřený a je určen pro použití jednou osobou v daném čase.
Nálevka: 	Sprcha, která má posloupnost sprchových hlavic nebo postřikovačů, které fungují současně po celé její délce."
 Má zásobník	Indikuje, zda má sprcha samostatnou nádrž, která zachycuje vodu ve sprše a směruje ji do odpadní výlevky.
 Jmenovitá délka	Jmenovitá nebo kótovaná délka objektu.
 Jmenovitá šířka	Jmenovitá nebo kótovaná šířka objektu.
 Jmenovitá hloubka	Jmenovitá nebo kótovaná hloubka objektu.
 Barva	Výběr barvy pro tento objekt.
 Popis sprchové hlavice	Popis sprchové hlavice (hlavic), které poskytují vodní postřik.
 Velikost odtoku	Velikost přípojky odtokové výpusti z objektu.
	
 Typ sanitárního terminálu stoka	Zařízení s odpadem vody pro příjem odpadu, uchování nebo likvidaci kapalin z domácích, kuchařských, laboratorních nebo průmyslových procesů. HISTORIE: V IFC4, vlastnost materiálu odstraněna. Použití schopností materiálů ze schématu IfcMaterialsResource. Datový typ barvy změněn na IfcLabel (stále hodnota typu string). SinkMounting změněno na Mounting.
 Typ stoky	"Volba typu stoky z výčtového seznamu typů, kde:

Belfast: 	Hluboká stoka s rovnou hranou a splavovým přepadem
.
Výlevka: 	Stoka na nízké úrovni s chráněným předním okrajem, který usnadňuje plnění a vyprazdňování kbelíků, obvykle s výklopnou mřížkou, na kterou lze kbelík postavit.
Čističe:	 Stoka, obvykle upevněná v normální výšce (900 mm), s chráněným předním okrajem.
Kombinace_vlevo:	 Stoka s integrovaným vypouštěním na levé straně
.
Kombinace_vpravo: Stoka s integrovaným vypouštěním na pravé straně
.
Kombinace_dvojitá: 	Stoka s integrovaným vypouštěním na obou stranách
.
Odkapávací nádrž: Malá stoka, která zachytává kapky nebo proud z kohoutku
.
Laboratoř: Stoka z materiálu odolného proti kyselinám, s tvarovaným horním okrajem, pro usnadnění upevnění ke spodní straně stolu
.
Londýn: Hluboká stoka s rovnou hranou a bez přepadu
.
Omítka: Stoka s nádrží na sedimenty, která zamezuje vnikání odpadů omítky do kanalizace
.
Kotlík: Velká kovová stoka s pevným odpadem na mytí kuchyňského nádobí
.
Oplachování: Kovová stoka, ve které lze vodu zahřívat, a ponořovat kuchyňské potřeby a nádobí při vysoké teplotě, která zničí neškodlivější bakterie a umožňuje následné vlastní sušení.
.
Police: Keramická stoka s integrovanou zadní policí, přes kterou je namontovaný vodoinstalační materiál
.
PřípravaZeleniny: 	Velká kovová stoka s pevným odpadem na mytí kuchyňského nádobí
."
 Montáž	"Výběr způsobu montáže stoky z výčtového seznamu upevnění, kde:

ZadníStranouNaStěnu: Sanitární terminál s montáží na podstavec, který se přizpůsobí zadní stranou stěně a zajistí zakrytí svých provozních přípojek.
Podstavec: 	Sanitární terminál s montáží na podlahu, který má integrální základnu.
NaHorníStranu: 	Sanitární terminál, který je nainstalován na vodorovnou plochu. Poznámka: Při aplikaci do ručního umyvadla se častěji používá výraz  ‘marnost’. Viz také specifikace typu ručního umyvadla.
Nástěnný: 	Sanitární terminál zavěšený v dostatečné výšce nad podlahou."
 Jmenovitá délka	Jmenovitá nebo kótovaná délka objektu.
 Jmenovitá šířka	Jmenovitá nebo kótovaná šířka objektu.
 Jmenovitá hloubka	Jmenovitá nebo kótovaná hloubka objektu.
 Barva	Výběr barvy pro tento objekt.
 Velikost odtoku	Velikost přípojky odtokové výpusti z objektu.
 Odsazení montáže	Pro stoky připevněné k horní ploše stolu, vertikální posun mezi horní stranou stoky a horní plochou stolu.
	
 Typ sanitárního terminálu toaletní mísa	Zařízení v podlaze pro likvidaci exkrementů. HISTORIE: V IFC4, vlastnost materiálu odstraněna. Použití schopností materiálů ze schématu IfcMaterialsResource. Předpona pro vlastnost barvy odstraněna. Datový typ barvy změněn na IfcLabel (stále hodnota typu string).
 Typ WC	"Výčet, který definuje typy uspořádání WC (splachovací klozet), které lze specifikovat, kde:

MyčkaNaLůžkovéMísy: Uzavřené zařízení v podlaze na mytí lůžkových mís a nádob na moč.
Chemikálie: Přenosná nádrž nebo zařízení v podlaze na vypouštění nebo zadržování exkrementů, buď integrální nebo oddělená nádoba, ve které se exkrementy chemicky ošetřují a kterou je třeba pravidelně vyprazdňovat.
TěsnáVazba: 	Skupina WC, ve které je splachovací cisterna připojena přímo k vodní nádrži klozetu.
VolnáVazba: 	Uspořádání WC, ve kterém je splachovací cisterna připojena k vodní nádrži klozetu splachovací trubkou.
Splachovadlo: 	Podlahové zařízení ve tvaru splachovadla se splachovacím okrajem a výpustí, podobné jako toaletní mísa, do kterého se vyprazdňují lidské exkrementy k likvidaci."
 Typ toaletní mísy	"Výčet vlastností Pset_ToiletPanTypeEnum definuje typy toaletních mís, které lze určit v rámci souboru vlastností Pset_Toilet:-

Odsávaný: 	Toaletní mísa, ze které se exkrementy odstraňují odsáváním vyvolaným splachovací vodou.
Podřep: 	Toaletní mísa s prodlouženou dózou instalovanou na horním okraji nebo v blízkosti úrovně podlahy, takže uživatel sedí v podřepu.
Splachování: 	Toaletní mísa, ze které se exkrementy odstraňují hybností splachovací vody.
Promývání: 	Splachovací toaletní mísa, ve které exkrementy padají nejprve do mělké mísy naplněné vodou."
 Upevnění mísy	"Výčet vlastností Pset_SanitaryMountingEnum definuje způsoby montáže nebo upevnění sanitárního terminálu, které lze stanovit v rámci souborů vlastností použitých k definování sanitárních terminálů (WC, umyvadla, stok, atd.), kde:

ZadníStranouNaStěnu: 	Sanitární terminál s montáží na podstavec, který se přizpůsobí zadní stranou stěně a zajistí zakrytí svých provozních přípojek.
Podstavec: 	Sanitární terminál s montáží na podlahu, který má integrální základnu.
NaHorníStranu: 	Sanitární terminál, který je nainstalován na vodorovnou plochu. Poznámka: Při aplikaci do ručního umyvadla se častěji používá výraz  ‘marnost’. Viz také specifikace typu ručního umyvadla.
Nástěnný: 	Sanitární terminál zavěšený v dostatečné výšce nad podlahou."
 Barva	Výběr barvy pro tento objekt
 Hladina přetečení	Hladina, při které se voda vylije z terminálu.
 Jmenovitá délka	Jmenovitá nebo kótovaná délka objektu.
 Jmenovitá šířka	Jmenovitá nebo kótovaná šířka objektu.
 Jmenovitá hloubka	Jmenovitá nebo kótovaná hloubka objektu.
	
 Typ sanitárního terminálu pisoár	Podlahové zařízení na vypouštění, odvod a směrování moči do odpadu (BS6100). HISTORIE: V IFC4, vlastnost materiálu odstraněna. Použití schopností materiálů ze schématu IfcMaterialsResource. Předpona pro vlastnost barvy odstraněna. Datový typ barvy změněn na IfcLabel (stále hodnota typu string).  Přidána vlastnost ‚Upevnění‘
 Typ pisoáru	"Volba typu pisoáru z výčtového seznamu typů, kde:

Mísa: Individuální pisoár připevněný ke stěně.
Deska: Pisoár, který se skládá z desky nebo plechu připevněného ke stěně a odtoku do podlahového kanálu ve spodní části.
Stánek: Pisoár připevněný k podlaze, který se skládá z eliptického sanitárního stánku připevněného ke stěně a a odtoku do podlahového kanálu ve spodní části.
Žlab: Nástěnný pisoár protáhlého obdélníkového půdorysu, který může použít více osob současně."
 Montáž	"Výběr způsobu montáže z výčtového seznamu upevnění, kde:

ZadníStranouNaStěnu =	Sanitární terminál s montáží na podstavec, který se přizpůsobí zadní stranou stěně a zajistí zakrytí svých provozních přípojek
Podstavec =	Sanitární terminál s montáží na podlahu, který má integrální základnu
NaHorníStranu =	Sanitární terminál, který je nainstalován na vodorovnou plochu. Poznámka: Při aplikaci do ručního umyvadla se častěji používá výraz  ‘marnost’. Viz také specifikace typu ručního umyvadla.
Nástěnný =	Sanitární terminál zavěšený v dostatečné výšce nad podlahou
.

Mějte na paměti, že ZadníStranouNaStěnu, Podstavec a Nástěnný jsou přípustné hodnoty pro pisoár."
 Barva	Barva pisoáru.
 Hladina přetečení	Hladina, při které se voda vylije z objektu.
 Jmenovitá délka	Jmenovitá nebo kótovaná délka objektu.
 Jmenovitá šířka	Jmenovitá nebo kótovaná šířka objektu.
 Jmenovitá hloubka	Jmenovitá nebo kótovaná hloubka objektu.
	
 Typ sanitárního terminálu Umyvadlo	Zařízení s vodním odpadem na umývání horních částí těla. HISTORIE: V IFC4, vlastnost materiálu odstraněna. Použití schopností materiálů ze schématu IfcMaterialsResource. Datový typ barvy změněn na IfcLabel (stále hodnota typu string).
 Typ ručního umyvadla	"Definuje typy ručního umyvadla, které lze specifikovat, kde:


ZubníPlivátko: Zařízení s odpadem na  vyplachování úst a odvod  výplachové vody
.
OplachováníRukou: Nástěnné umyvadlo, které má celkovou šířku 500 mm nebo méně
.
Nemocnice: Umyvadlo, které má hladký povrch pro snadné čištění bez závitových otvorů a přepadové drážky pro použití v místech, kde má hygiena zásadní význam. 

Překlopení: Umyvadlo namontované na čepy tak, aby se dalo vyprázdnit nakloněním.

Marnost: Umyvadlo pro instalaci do vodorovné plochy.

Mycí rezervoár: Umyvadlo s kruhovým, půlkruhovým nebo mnohoúhelníkovým půdorysem, které může použít více osob současně.
MycíŽlab: Umyvadlo s podlouhlým obdélníkovým půdorysem, ve kterém se může umývat více osob současně."
 Montáž	"Výběr způsobu montáže z výčtového seznamu upevnění, kde:

ZadníStranouNaStěnu: 	Sanitární terminál s montáží na podstavec, který se přizpůsobí zadní stranou stěně a zajistí zakrytí svých provozních přípojek.
Podstavec: 	Sanitární terminál s montáží na podlahu, který má integrální základnu
NaHorníStranu: 	Sanitární terminál, který je nainstalován na vodorovnou plochu. Poznámka: Při aplikaci do ručního umyvadla se častěji používá výraz  ‘marnost’. Viz také specifikace typu ručního umyvadla.
Nástěnný: 	Sanitární terminál zavěšený v dostatečné výšce nad podlahou."
 Jmenovitá délka	Jmenovitá nebo kótovaná délka objektu.
 Jmenovitá šířka	Jmenovitá nebo kótovaná šířka objektu.
 Jmenovitá hloubka	Jmenovitá nebo kótovaná hloubka objektu.
 Barva	Barva objektu.
 Velikost odtoku	Velikost přípojky odtokové výpusti z objektu.
 Odsazení montáže	Pro umyvadla připevněná k horní ploše stolu, vertikální posun mezi horní stranou stoky a horní plochou stolu.
	
 Historie provozu senzoru	Vlastnosti historie hodnot ovladače.  HISTORIE: Přidáno do IFC4.
 Hodnota	Udává nasnímané hodnoty v průběhu času, které mohou být zaznamenávány nepřetržitě nebo pouze v případě změny za určeným pásmem necitlivosti.  Rozsah možných hodnot je definován vlastností PožadovanáHodnota souboru vlastností příslušného typu snímače.
 Směr	Indikuje snímaný směr senzorů zachytávající velikost a směr měřený od pravého severu (0 stupňů) ve směru hodinových ručiček.
 Kvalita	Udává kvalitu měření nebo chybového stavu, která může být blíže určena stavem.  True: měřené hodnoty jsou považovány za spolehlivé; False: měřené hodnoty jsou považovány za nespolehlivé (tj. byla zjištěna chyba); Unknown: spolehlivost hodnot je nejistá.
 Stav	Udává chybový kód nebo identifikátor, jejichž význam se vztahuje ke konkrétnímu automatizovanému systému.  Příklady hodnot: „ChybaKonfigurace“, „NeníPřipojeno“, „PoruchaZařízení“, „PoruchaSnímače“, „PosledníZnámý“, „PoruchaKomunikace“, „MimoProvoz“.
	
 Typ senzoru - všeobecně	Všeobecné atributy typu senzoru.  HISTORIE: Přidáno do IFC4.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ 'A-1') za předpokladu, že není použita žádná klasifikační reference pro rozpoznaný klasifikační systém.
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
	
 Typ senzoru Senzor vodivosti	Zařízení, které snímá či detekuje elektrickou vodivost.  HISTORIE: Přidáno do IFC4.
 Požadovaná hodnota vodivosti	Hodnota stavu naplnění, která se má snímat. Pomocí IfcPropertyBoundedValue.SetPointValue nastavte požadovanou hodnotu.
	
 Typ senzoru Senzor kontaktu	Zařízení, které snímá či detekuje kontakt. HISTORIE: Přidáno do IFC4.
 Požadovaná hodnota kontaktu	Hodnota kontaktu, která se má snímat. Pomocí IfcPropertyBoundedValue.SetPointValue nastavte požadovanou hodnotu.
	
 Typ senzoru Požární senzor	Zařízení, které snímá či detekuje přítomnost ohně.
 Požadovaná hodnota požárního senzoru	Hodnota teploty, která se má snímat pro indikaci přítomnosti ohně.
 Přesnost požárního senzoru	Přesnost senzoru
 Časová konstanta	Časová konstanta senzoru
	
 Typ senzoru Senzor průtoku	Zařízení, které snímá či detekuje průtok. HISTORIE: Přidáno do IFC4.
 Požadovaná hodnota průtoku	Hodnota objemového průtoku, která se má snímat. Pomocí IfcPropertyBoundedValue.SetPointValue nastavte požadovanou hodnotu.
	
 Typ senzoru Senzor plynu	Zařízení, které snímá či detekuje plyn. HISTORIE: Přidáno do IFC4. Detekovaný plyn zavedený do výčtu, požadovaná hodnota koncentrace a oblast pokrytí přidány. Rozsah, přesnost a časová konstanta odstraněny.
 Detekovaný plyn	Identifikace plynu, který je detekován, podle chemického vzorce.  Například oxid uhelnatý je 'CO', oxid uhličitý je 'CO2', kyslík je 'O2'.
 Požadovaná hodnota koncentrace	Hodnota koncentrace plynu, která se má snímat. Pomocí IfcPropertyBoundedValue.SetPointValue nastavte požadovanou hodnotu.
 Oblast pokrytí	Podlahová plocha, která je pokryta senzorem (obvykle měřená jako kruh, jehož střed je v místě senzoru).
	
 Typ senzoru Senzor tepla	Zařízení, které snímá či detekuje teplo. HISTORIE: V IFC4, zahrnuje požární senzor. PožadovanáHodnotaTepelnéhoSenzoru změněno na PožadovanáHodnotaTeploty
 Oblast pokrytí	Oblast, která je pokryta senzorem (obvykle měřená jako kruh, jehož střed je v místě senzoru).
 Požadovaná hodnota teploty	Hodnota teploty, která se má snímat. Pomocí IfcPropertyBoundedValue.SetPointValue nastavte požadovanou hodnotu.
 Rychlost nárůstu teploty	Rychlost nárůstu teploty, který se má snímat jako nebezpečný.
	
 Typ senzoru  Senzor vlhkosti	Zařízení, které snímá či detekuje vlhkost. HISTORIE: HumiditySensorSetPoint změněno na HumiditySensorSetPoint Rozsah, přesnost a časová konstanta odstraněny.
 Požadovaná hodnota vlhkosti	Hodnota vlhkosti, která se má snímat. Pomocí IfcPropertyBoundedValue.SetPointValue nastavte požadovanou hodnotu.
	
 Typ senzoru Senzor iontové koncentrace	Zařízení, které snímá či detekuje iontovou koncentraci, jako například tvrdost vody. HISTORIE: Přidáno do IFC4.
 Detekovaná látka	Identifikace látky, která je detekována, podle chemického vzorce.  Například uhličitan vápenatý je  'CaCO3'
 Požadovaná hodnota koncentrace	Hodnota iontové koncentrace, která se má snímat. Pomocí IfcPropertyBoundedValue.SetPointValue nastavte požadovanou hodnotu.
	
 Typ senzoru Senzor hladiny	Zařízení, které snímá či detekuje hladinu náplně.  HISTORIE: Přidáno do IFC4.
 Požadovaná hodnota hladiny	Hodnota stavu naplnění, která se má snímat. Pomocí IfcPropertyBoundedValue.SetPointValue nastavte požadovanou hodnotu.
	
 Typ senzoru Senzor světla	Zařízení, které snímá či detekuje světlo. HISTORIE: LightSensorSensorSetPoint změněno na SetPointIlluminance. Rozsah, přesnost a časová konstanta odstraněny.
 Požadovaná hodnota osvětlení	Hodnota osvětlení, která se má snímat Pomocí IfcPropertyBoundedValue.SetPointValue nastavte požadovanou hodnotu.
	
 Typ senzoru  Senzor vlhkosti	Zařízení, které snímá či detekuje vlhkost. HISTORIE: Přidáno do IFC4.
 Požadovaná hodnota vlhkosti	Hodnota vlhkosti, která se má snímat. Pomocí IfcPropertyBoundedValue.SetPointValue nastavte požadovanou hodnotu.
	
 Typ senzoru Senzor pohybu	Zařízení, které snímá či detekuje pohyb. HISTORIE: V IFC4, časová konstanta odstraněna.
 Typ snímání pohybu	Výčet, který identifikuje typ pohybu snímacího mechanismu.
 Požadovaná hodnota pohybu	Pohyb, který se má snímat
	
 Typ senzoru Senzor P H	Zařízení, které snímá či detekuje kyselost.  HISTORIE: Přidáno do IFC4.
 Požadovaná hodnota P H	Hodnota stavu naplnění, která se má snímat. Pomocí IfcPropertyBoundedValue.SetPointValue nastavte požadovanou hodnotu.
	
 Typ senzoru Senzor tlaku	Zařízení, které snímá či detekuje tlak. HISTORIE: PressureSensorSensorSetPoint změněno na PressureSensorSensorSetPoint. Rozsah, přesnost a časová konstanta odstraněny.
 Požadovaná hodnota tlaku	Hodnota tlaku, která se má snímat. Pomocí IfcPropertyBoundedValue.SetPointValue nastavte požadovanou hodnotu.
 Je spínač	Určuje, zda senzor funguje také jako spínač při nastavené hodnotě (=TRUE) nebo ne (=FALSE).
	
 Typ senzoru Senzor radiace	Zařízení, které snímá či detekuje radiaci. HISTORIE: Přidáno do IFC4.
 Požadovaná hodnota radiace	Hodnota intenzity radiace, která se má snímat. Pomocí IfcPropertyBoundedValue.SetPointValue nastavte požadovanou hodnotu.
	
 Typ senzoru Senzor radioaktivity	Zařízení, které snímá či detekuje radioaktivitu. HISTORIE: Přidáno do IFC4.
 Požadovaná hodnota radioaktivity	Hodnota radioaktivity, která se má snímat. Pomocí IfcPropertyBoundedValue.SetPointValue nastavte požadovanou hodnotu.
	
 Typ senzoru Senzor kouře	Zařízení, které snímá či detekuje kouř. HISTORIE: PressureSensorSensorSetPoint (v minulé verzi chyba) změněno na SetPointConcentration. Rozsah, přesnost a časová konstanta odstraněny.
 Oblast pokrytí	Podlahová plocha, která je pokryta senzorem (obvykle měřená jako kruh, jehož střed je v místě senzoru).
 Požadovaná hodnota koncentrace	Hodnota iontové koncentrace, která se má snímat. Pomocí IfcPropertyBoundedValue.SetPointValue nastavte požadovanou hodnotu.
 Má vestavěný alarm	Indikuje, zda je senzor kouře prvkem v rámci požárního alarmu / senzorové jednotky (TRUE) nebo ne (FALSE).
	
 Typ senzoru Senzor zvuku	Zařízení, které snímá či detekuje zvuk. HISTORIE: SoundSensorSensorSetPoint změněno na SoundSensorSensorSetPoint. Rozsah, přesnost a časová konstanta odstraněny.
 Požadovaná hodnota zvuku	Hodnota zvuku, která se má snímat. Pomocí IfcPropertyBoundedValue.SetPointValue nastavte požadovanou hodnotu.
	
 Typ senzoru Senzor teploty	Zařízení, které snímá či detekuje teplotu. HISTORIE: TemperatureSensorSensorSetPoint změněno na TemperatureSensorSensorSetPoint Rozsah, přesnost a časová konstanta odstraněny.
 Typ senzoru teploty	Výčet, který identifikuje typy senzoru teploty, které lze specifikovat.
 Požadovaná hodnota teploty	Hodnota teploty, která se má snímat. Pomocí IfcPropertyBoundedValue.SetPointValue nastavte požadovanou hodnotu.
	
 Typ senzoru Senzor větru	Zařízení, které snímá či detekuje rychlost a směr větru. HISTORIE: Přidáno do IFC4.
 Typ senzoru větru	Výčet, který identifikuje typy senzoru větru, které lze specifikovat.
 Požadovaná hodnota rychlosti	Hodnota rychlosti větru, která se má snímat. Pomocí IfcPropertyBoundedValue.SetPointValue nastavte požadovanou hodnotu.
	
 Životnost	Udává časové období, které výrobek vydrží.  HISTORIE: Uvedeno v IFC2X4 jako náhrada za IfcServiceLife.
 Délka životnosti	"Délka trvání životnosti  

Spodní mez naznačuje pesimistickou životnost, horní mez indikuje optimistickou životnost, a požadovaná hodnota udává obvyklou životnost."
 Průměrná doba mezi poruchami	Průměrná délka doby mezi výskyty poruch produktu.
	
